CustomerID,Churn Probability
8603-IJWDN,0.88
1069-XAIEM,0.88
8149-RSOUN,0.88
9497-QCMMS,0.88
9300-AGZNL,0.88
6521-YYTYI,0.88
5178-LMXOP,0.879
4826-XTSOH,0.879
9282-IZGQK,0.879
4910-GMJOT,0.879
3068-OMWZA,0.877
2609-IAICY,0.876
9248-OJYKK,0.876
5192-EBGOV,0.876
0295-PPHDO,0.875
4912-PIGUY,0.874
0495-RVCBF,0.874
7594-RQHXR,0.874
2868-MZAGQ,0.874
6457-USBER,0.873
6230-BSUXY,0.873
2004-OCQXK,0.873
3722-WPXTK,0.873
4614-NUVZD,0.873
1455-ESIQH,0.872
6894-LFHLY,0.872
2725-KXXWT,0.872
3988-RQIXO,0.871
6567-HOOPW,0.871
8580-AECUZ,0.87
2514-GINMM,0.87
6877-TJMBR,0.87
9507-EXLTT,0.87
7274-RTAPZ,0.87
8058-INTPH,0.87
1761-AEZZR,0.87
0318-QUUOB,0.87
9725-SCPZG,0.87
1415-YFWLT,0.869
8740-CRYFY,0.869
5960-WPXQM,0.869
7216-EWTRS,0.869
2202-CUYXZ,0.868
7577-SWIFR,0.868
5597-GLBUC,0.868
3027-ZTDHO,0.868
9300-RENDD,0.868
0970-ETWGE,0.868
5494-HECPR,0.867
7439-DKZTW,0.867
0231-LXVAP,0.865
9124-LHCJQ,0.865
0107-YHINA,0.863
5419-JPRRN,0.862
6618-RYATB,0.862
5834-ASPWA,0.861
7503-ZGUZJ,0.86
5275-SQEIZ,0.859
8821-XNHVZ,0.858
6372-RFVNS,0.857
9787-XVQIU,0.857
0235-KGSLC,0.857
5393-RXQSZ,0.857
1448-PWKYE,0.857
8945-GRKHX,0.856
4988-IQIGL,0.856
8775-LHDJH,0.856
7120-RFMVS,0.856
7493-TPUWZ,0.856
6910-HADCM,0.855
9223-UCPVT,0.854
9444-JTXHZ,0.854
1452-VOQCH,0.854
2867-UIMSS,0.854
8816-VXNZD,0.854
6960-HVYXR,0.854
4844-JJWUY,0.853
9885-CSMWE,0.853
9019-QVLZD,0.853
5167-ZFFMM,0.853
2777-PHDEI,0.853
0723-DRCLG,0.852
4102-OQUPX,0.852
7180-PISOG,0.851
1628-BIZYP,0.851
7294-TMAOP,0.851
5797-APWZC,0.851
6358-LYNGM,0.85
1157-BQCUW,0.85
3049-NDXFL,0.849
0742-NXBGR,0.849
5240-IJOQT,0.849
3551-HUAZH,0.847
4415-IJZTP,0.846
5564-NEMQO,0.846
3746-EUBYR,0.846
6086-ESGRL,0.845
8372-JUXUI,0.845
3801-HMYNL,0.845
5196-SGOAK,0.845
6996-KNSML,0.845
6513-EECDB,0.843
1833-VGRUM,0.842
5134-IKDAY,0.842
5539-TMZLF,0.841
4871-JTKJF,0.841
3296-SILRA,0.841
8062-YBDOE,0.841
2506-TNFCO,0.841
2254-DLXRI,0.841
1393-IMKZG,0.841
5550-VFRLC,0.841
3422-LYEPQ,0.84
2636-ALXXZ,0.84
3276-HDUEG,0.84
8375-DKEBR,0.84
0137-OCGAB,0.839
8473-VUVJN,0.839
5542-TBBWB,0.838
9804-ICWBG,0.838
4550-EVXNY,0.838
5043-TRZWM,0.838
7254-IQWOZ,0.838
4603-JANFB,0.838
4510-HIMLV,0.838
1853-UDXBW,0.838
5875-YPQFJ,0.838
6857-VWJDT,0.837
0021-IKXGC,0.837
8000-REIQB,0.837
9488-HGMJH,0.836
7409-KIUTL,0.836
6502-MJQAE,0.836
7665-TOALD,0.836
1062-LHZOD,0.835
2982-IHMFT,0.835
8644-XLFBW,0.835
1031-IIDEO,0.835
3878-AVSOQ,0.835
3178-FESZO,0.835
9940-RHLFB,0.834
8380-PEFPE,0.834
1363-TXLSL,0.833
5054-IEXZT,0.833
8051-HJRLT,0.832
1820-TQVEV,0.832
9399-APLBT,0.832
5376-DEQCP,0.831
2024-BASKD,0.83
3707-GNWHM,0.829
1846-XWOQN,0.829
0679-IDSTG,0.829
9605-WGJVW,0.829
3158-MOERK,0.828
9603-OAIHC,0.828
1640-PLFMP,0.827
7465-ZZRVX,0.827
6653-CBBOM,0.827
7595-EUIVN,0.827
7206-GZCDC,0.827
3494-JCHRQ,0.827
4702-IOQDC,0.827
2446-PLQVO,0.827
0328-GRPMV,0.827
3244-DCJWY,0.827
3765-JXVKY,0.827
0968-GSIKN,0.825
3066-RRJIO,0.825
2468-SJFLM,0.825
2013-SGDXK,0.825
1746-TGTWV,0.824
4274-OWWYO,0.824
8775-ERLNB,0.823
0488-GSLFR,0.823
5186-SAMNZ,0.823
8042-JVNFH,0.823
6140-QNRQQ,0.823
6457-GIRWB,0.823
8309-IEYJD,0.823
3428-XZMAZ,0.823
5032-MIYKT,0.823
3186-BAXNB,0.822
9617-INGJY,0.822
2424-WVHPL,0.821
0515-YPMCW,0.821
7851-WZEKY,0.819
2619-WFQWU,0.819
9985-MWVIX,0.819
7024-OHCCK,0.818
6474-FVJLC,0.818
1143-NMNQJ,0.817
7908-QCBCA,0.817
5583-SXDAG,0.816
2656-TABEH,0.815
1977-STDKI,0.815
1400-MMYXY,0.815
6108-OQZDQ,0.814
4695-WJZUE,0.813
8687-BAFGU,0.812
4501-EQDRN,0.812
0812-WUPTB,0.812
3177-LASXD,0.812
2720-WGKHP,0.811
1084-UQCHV,0.811
4927-WWOOZ,0.811
4424-TKOPW,0.811
2545-EBUPK,0.811
9894-EZEWG,0.81
3006-XIMLN,0.81
6861-XWTWQ,0.81
7153-OANIO,0.81
9747-DDZOS,0.809
1915-IOFGU,0.809
4759-TRPLW,0.807
3049-SOLAY,0.807
0519-XUZJU,0.806
0151-ONTOV,0.806
0511-JTEOY,0.806
8040-MNRTF,0.806
3198-VELRD,0.805
4952-YSOGZ,0.805
4587-VVTOX,0.805
2262-SLNVK,0.804
5940-AHUHD,0.804
5277-ZLOOR,0.804
8884-ADFVN,0.804
6023-YEBUP,0.803
0259-GBZSH,0.803
3097-NQYSN,0.802
9728-FTTVZ,0.799
4110-PFEUZ,0.799
9546-CQJSU,0.799
7660-HDPJV,0.799
2012-NWRPA,0.798
9840-EFJQB,0.797
3643-AHCFP,0.796
1455-UGQVH,0.796
5567-WSELE,0.795
0897-FEGMU,0.794
5299-SJCZT,0.793
9057-SIHCH,0.792
6630-UJZMY,0.792
0219-YTZUE,0.791
6432-TWQLB,0.791
0196-VULGZ,0.79
7218-HKQFK,0.79
0702-PGIBZ,0.789
9681-OXGVC,0.789
6892-EZDTG,0.787
1447-GIQMR,0.787
5884-GCYMI,0.786
4795-KTRTH,0.786
5095-AESKG,0.786
0754-UKWQP,0.785
4143-OOBWZ,0.785
5052-PNLOS,0.785
2454-RPBRZ,0.785
3716-BDVDB,0.784
3727-RJMEO,0.784
6496-SLWHQ,0.784
3489-HHPFY,0.782
7314-OXENN,0.781
9957-YODKZ,0.781
8972-HJWNV,0.779
8622-ZLFKO,0.779
1086-LXKFY,0.779
4806-HIPDW,0.779
5293-WXJAK,0.778
2074-GKOWZ,0.778
8098-LLAZX,0.778
1925-TIBLE,0.778
4290-BSXUX,0.777
4929-XIHVW,0.777
6688-UZPWD,0.776
0880-TKATG,0.776
1450-GALXR,0.775
0495-ZBNGW,0.774
2968-SSGAA,0.774
0195-IESCP,0.773
7249-WBIYX,0.772
4636-QRJKY,0.771
7994-UYIVZ,0.769
1465-VINDH,0.769
8382-SHQEH,0.768
3319-DWOEP,0.768
7779-LGOVN,0.768
5561-NWEVX,0.767
0697-ZMSWS,0.766
2446-BEGGB,0.766
2034-GDRCN,0.766
4078-SAYYN,0.765
0655-RBDUG,0.765
0637-KVDLV,0.765
4822-RVYBB,0.765
0220-EBGCE,0.765
3902-FOIGH,0.765
5383-MMTWC,0.764
5150-ITWWB,0.764
3871-IKPYH,0.764
6416-TVAIH,0.763
7526-BEZQB,0.763
9878-TNQGW,0.763
4750-ZRXIU,0.763
8593-WHYHV,0.761
5569-KGJHX,0.761
7488-MXJIV,0.76
3811-VBYBZ,0.76
8337-UPOAQ,0.76
2982-VPSGI,0.76
4813-HQMGZ,0.759
0781-LKXBR,0.759
3106-ULWFW,0.759
9317-WZPGV,0.759
2865-TCHJW,0.759
4132-KALRO,0.757
5644-PDMZC,0.757
1273-MTETI,0.757
1374-DMZUI,0.756
3389-YGYAI,0.756
3387-VATUS,0.755
1731-TVIUK,0.754
1304-NECVQ,0.753
7398-SKNQZ,0.753
7450-NWRTR,0.753
1981-INRFU,0.752
2868-SNELZ,0.751
4951-UKAAQ,0.75
2462-XIIJB,0.75
4713-LZDRV,0.75
3992-YWPKO,0.75
4228-ZGYUW,0.75
